@RELATION output1

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 {0.0,1.0}

@DATA
0.220773,0.349798,0.0
0.067869,-1.212585,1.0
-0.373121,0.794043,0.0
0.526038,0.440336,0.0
-0.885128,0.357937,0.0
-1.140738,1.114717,1.0
0.181604,1.066743,0.0
1.14383,0.892457,1.0
1.215728,-0.446916,1.0
-0.184257,1.183258,1.0
-1.168688,-0.574352,1.0
1.234919,-0.908025,1.0
0.938511,0.137639,0.0
0.862749,0.506563,0.0
1.358292,-1.200159,1.0
0.22582,-1.208847,1.0
0.154039,-0.277804,0.0
1.138735,-0.309778,1.0
0.979968,-1.008567,1.0
-0.270729,-0.081576,0.0
1.474229,0.816773,1.0
-1.107553,1.204258,1.0
-0.779171,-1.084562,1.0
0.241883,-0.025691,0.0
-0.3984,-0.200758,0.0
1.179573,0.918617,1.0
-0.203097,-1.045806,1.0
0.066266,0.541614,0.0
-1.100368,1.062326,1.0
0.939125,1.43171,1.0
1.265175,-0.964533,1.0
-0.230157,-0.5066,0.0
